Ô# ms,pwm,rpm,ris,lis
100,42,0,0,0
200,72,0,0,0
300,114,0,0,0
400,144,0,0,0
500,180,0,0,0
600,200,0,0,0
700,200,0,0,0
800,200,0,0,0
900,200,0,0,0
1000,200,0,0,0
1101,200,0,0,0
1201,200,0,0,0
1301,200,0,0,0
1401,200,0,0,0
1501,200,0,0,0
1601,200,0,0,0
1701,200,0,0,0
1801,200,0,0,0
1901,200,0,0,0
# end rpmMax=0 risMax=0 ms=1902
# STALL
# ms,pwm,rpm,ris,lis
100,36,0,0,0
200,60,0,0,0
300,60,0,0,0
400,60,0,0,0
500,60,0,0,0
600,60,0,0,0
700,60,0,0,0
800,60,0,0,0
900,60,0,0,0
1000,60,0,0,0
1100,60,0,0,0
1200,60,0,0,0
1300,60,0,0,0
1400,60,0,0,0
1500,60,0,0,0
# step 80
1600,80,0,0,0
1700,80,0,0,0
1800,80,0,0,0
1900,80,0,0,0
2000,80,0,0,0
2100,80,0,0,0
2200,80,0,0,0
2300,80,0,0,0
2400,80,0,0,0
2500,80,0,0,0
2600,80,0,0,0
2700,80,0,0,0
2800,80,0,0,0
2900,80,0,0,0
3000,80,0,0,0
# step 100
3100,100,0,0,0
3200,100,0,0,0
3300,100,0,0,0
3400,100,0,0,0
3500,100,0,0,0
3600,100,0,0,0
3700,100,0,0,0
3800,100,0,0,0
3900,100,0,0,0
4000,100,0,0,0
4100,100,0,0,0
4200,100,0,0,0
4300,100,0,0,0
4400,100,0,0,0
4500,100,0,0,0
# step 120
4600,120,0,0,0
4700,120,0,0,0
4800,120,0,0,0
4900,120,0,0,0
5000,120,0,0,0
5100,120,0,0,0
5200,120,0,0,0
5300,120,0,0,0
5400,120,0,0,0
5500,120,0,0,0
5600,120,0,0,0
5700,120,0,0,0
5800,120,0,0,0
5900,120,0,0,0
6000,120,0,0,0
# step 140
6100,140,0,0,0
6200,140,0,0,0
6300,140,0,0,0
6400,140,0,0,0
6500,140,0,0,0
6600,140,0,0,0
6700,140,0,0,0
6800,140,0,0,0
6900,140,0,0,0
7000,140,0,0,0
7100,140,0,0,0
7200,140,0,0,0
7300,140,0,0,0
7400,140,0,0,0
7500,140,0,0,0
# step 160
7600,160,0,0,0
7700,160,0,0,0
# end rpmMax=0 risMax=0 ms=7701
# STALL
# ms,pwm,rpm,ris,lis
100,42,0,0,0
200,60,0,0,0
300,60,0,0,0
400,60,0,0,0
500,60,0,0,0
600,60,0,0,0
700,60,0,0,0
800,60,0,0,0
900,60,0,0,0
1000,60,0,0,0
1100,60,0,0,0
1200,60,0,0,0
1300,60,0,0,0
1400,60,0,0,0
1501,60,0,0,0
# step 80
1601,80,0,0,0
1701,80,0,0,0
1801,80,0,0,0
1901,80,0,0,0
2001,80,0,0,0
2101,80,0,0,0
2201,80,0,0,0
2301,80,0,0,0
2401,80,0,0,0
2501,80,0,0,0
2601,80,0,0,0
2701,80,0,0,0
2801,80,0,0,0
2901,80,0,0,0
3001,80,0,0,0
# step 100
3101,100,0,0,0
3201,100,0,0,0
3301,100,0,0,0
3401,100,0,0,0
3501,100,0,0,0
3601,100,0,0,0
3701,100,0,0,0
3801,100,0,0,0
3901,100,0,0,0
4001,100,0,0,0
4101,100,0,0,0
4201,100,0,0,0
4301,100,0,0,0
4402,100,0,0,0
# step 120
4502,100,0,0,0
4602,120,0,0,0
4702,120,0,0,0
4802,120,0,0,0
4902,120,0,0,0
5002,120,0,0,0
5102,120,0,0,0
5202,120,0,0,0
5302,120,0,0,0
5402,120,0,0,0
5502,120,0,0,0
5602,120,0,0,0
5702,120,0,0,0
5802,120,0,0,0
5902,120,0,0,0
# step 140
6002,120,0,0,0
6102,140,0,0,0
6202,140,0,0,0
6302,140,0,0,0
6402,140,0,0,0
6502,140,0,0,0
6602,140,0,0,0
6702,140,0,0,0
6802,140,0,0,0
6902,140,0,0,0
7002,140,0,0,0
7102,140,0,0,0
7202,140,0,0,0
7302,140,0,0,0
7402,140,0,0,0
# step 160
7502,140,0,0,0
7602,160,0,0,0
7702,160,0,0,0
# end rpmMax=0 risMax=0 ms=7703
# STALL
# ms,pwm,rpm,ris,lis
100,30,3,319,0
200,60,19,236,0
300,60,26,94,0
400,60,27,207,0
501,60,26,176,0
601,60,27,134,0
701,60,27,282,0
801,60,27,159,0
901,60,26,148,0
1001,60,26,178,0
1101,60,25,125,0
1201,60,26,285,0
1301,60,25,308,0
1401,60,25,268,0
# step 80
1501,60,25,236,0
1601,80,31,202,0
1701,80,35,113,0
1801,80,36,167,0
1901,80,36,192,0
2001,80,34,218,0
2101,80,33,220,0
2201,80,33,295,0
2301,80,34,156,0
2401,80,35,137,0
2501,80,36,144,0
2601,80,36,155,0
2701,80,37,154,0
2801,80,36,193,0
2901,80,35,171,0
# step 100
3001,80,36,278,0
3101,100,38,135,0
3201,100,45,34,0
3301,100,47,99,0
3401,100,47,146,0
3501,100,46,119,0
3601,100,46,178,0
3701,100,46,2,0
3801,100,47,62,0
3901,100,46,71,0
4001,100,44,73,0
4101,100,47,123,0
4201,100,46,162,0
4301,100,44,134,0
4401,100,45,8,0
# step 120
4501,100,47,51,0
4601,120,52,0,0
4701,120,56,0,0
4801,120,56,96,0
4901,120,56,0,0
5001,120,56,130,0
5101,120,56,0,0
5201,120,56,56,0
5301,120,56,79,0
5401,120,55,115,0
5501,120,55,44,0
5601,120,56,0,0
5701,120,57,63,0
5801,120,55,80,0
5901,120,57,52,0
# step 140
6001,120,56,0,0
6101,140,58,96,0
6201,140,66,4,0
6301,140,66,41,0
6401,140,65,49,0
6501,140,65,0,0
6601,140,66,42,0
6701,140,65,0,0
6801,140,66,2,0
6901,140,66,6,0
7001,140,66,0,0
7101,140,66,26,0
7201,140,66,95,0
7301,140,65,84,0
7401,140,66,0,0
# step 160
7501,140,65,31,0
7601,160,72,0,0
7701,160,76,0,0
7801,160,75,0,0
7901,160,75,37,0
8001,160,76,0,0
8101,160,75,0,0
8201,160,75,70,0
8301,160,76,88,0
8401,160,75,61,0
8501,160,76,19,0
8601,160,76,0,0
8701,160,75,65,0
8801,160,76,10,0
8901,160,75,0,0
# step 180
9001,160,75,0,0
9101,180,77,0,0
9201,180,85,0,0
9301,180,85,0,0
9401,180,86,0,0
9501,180,85,0,0
9601,180,84,22,0
9701,180,85,0,0
9801,180,85,86,0
9901,180,85,0,0
10001,180,85,61,0
10101,180,85,0,0
10201,180,86,0,0
10301,180,85,89,0
10401,180,83,0,0
# step 200
10501,180,86,0,0
10601,200,91,56,0
10701,200,94,126,0
10801,200,95,0,0
10901,200,95,0,0
11001,200,93,56,0
11101,200,94,0,0
11201,200,95,21,0
11301,200,94,86,0
11401,200,95,0,0
11501,200,96,0,0
11601,200,94,0,0
11701,200,94,50,0
11801,200,94,45,0
11901,200,94,0,0
# step 220
12001,206,95,39,0
12101,220,100,52,0
12201,220,102,25,0
12301,220,104,87,0
12401,220,105,0,0
12501,220,103,10,0
12601,220,105,84,0
12701,220,105,44,0
