Õ# ready
# ms,pwm,rpm,ris,rispk,lis
100,30,5,34,406,0
200,60,18,56,453,0
300,60,26,60,474,0
400,60,27,59,462,0
500,60,27,54,531,0
600,60,26,62,456,0
700,60,25,65,496,0
800,60,24,78,585,0
901,60,21,105,701,0
1001,60,21,89,617,0
1101,60,22,87,608,0
1201,60,22,91,589,0
1301,60,21,91,599,0
1401,60,22,91,637,0
# step 80
1501,60,22,93,658,0
1601,80,26,146,722,0
1701,80,27,143,759,0
1801,80,28,158,774,0
1901,80,27,165,783,0
2001,80,30,133,707,0
2101,80,30,141,746,0
2201,80,29,139,770,0
2301,80,28,165,816,0
2401,80,26,193,838,0
2501,80,25,147,740,0
2601,80,30,150,760,0
2701,80,29,139,705,0
2801,80,29,153,785,0
2901,80,28,146,729,0
# step 100
3001,86,30,144,693,0
3101,100,36,188,792,0
3201,100,37,185,768,0
3301,100,38,159,714,0
3401,100,38,203,867,0
3501,100,36,187,754,0
3601,100,38,179,808,0
3701,100,36,201,824,0
3802,100,34,238,950,0
3902,100,34,236,910,0
4002,100,37,182,788,0
4102,100,38,210,795,0
4202,100,37,219,905,0
4302,100,38,162,685,0
4402,100,38,192,807,0
# step 120
4502,100,38,190,793,0
4602,120,44,215,824,0
4702,120,46,299,986,0
4802,120,44,231,828,0
4902,120,47,235,808,0
5002,120,48,248,829,0
5102,120,46,256,833,0
5202,120,43,273,867,0
5302,120,44,232,795,0
5402,120,48,204,726,0
5502,120,47,258,868,0
5602,120,44,245,838,0
5702,120,50,161,641,0
5802,120,50,218,732,0
5902,120,48,232,790,0
# step 140
6002,126,47,252,884,0
6102,140,56,200,664,0
6202,140,58,288,882,0
6302,140,55,242,760,0
6402,140,56,321,919,0
6502,140,55,216,733,0
6602,140,56,307,899,0
6702,140,55,286,840,0
6802,140,57,227,751,0
6902,140,58,303,816,0
7002,140,53,309,856,0
7102,140,52,334,942,0
7202,140,53,318,916,0
7302,140,52,242,797,0
7402,140,58,273,826,0
# step 160
7502,140,57,284,826,0
7602,160,60,312,795,0
7702,160,65,257,749,0
7802,160,67,255,727,0
7902,160,65,349,853,0
8002,160,65,258,750,0
8102,160,68,219,679,0
8202,160,68,302,798,0
8302,160,66,302,758,0
8402,160,61,398,943,0
8502,160,61,362,932,0
8602,160,61,300,778,0
8702,160,67,292,753,0
8802,160,65,293,788,0
8902,160,65,330,784,0
# step 180
9002,166,66,305,759,0
9102,180,71,336,764,0
9202,180,75,365,814,0
9302,180,75,306,745,0
9402,180,75,279,690,0
9502,180,77,268,649,0
9602,180,77,284,691,0
9702,180,75,363,798,0
9802,180,75,297,696,0
9902,180,76,396,832,0
10002,180,73,387,901,0
10102,180,71,414,894,0
10202,180,74,255,656,0
10302,180,79,235,622,0
10402,180,76,333,741,0
# step 200
10502,180,75,330,716,0
