# ready
# ms,pwm,rpm,ris,rispk,lis
116,36,5,37,375,0
216,72,21,79,580,0
318,102,38,107,547,0
418,138,53,143,630,0
519,168,72,166,508,0
619,200,83,175,418,0
719,200,96,147,394,0
819,200,95,144,409,0
920,200,94,155,438,0
1020,200,96,164,441,0
1120,200,96,151,433,0
1220,200,94,153,463,0
1320,200,96,155,461,0
1420,200,96,147,427,0
1520,200,94,144,413,0
1620,200,95,163,413,0
1720,200,94,150,454,0
1820,200,95,152,486,0
1920,200,96,146,453,0
2020,200,94,150,464,0
2120,200,96,155,476,0
2220,200,95,159,431,0
2320,200,94,138,402,0
2420,200,95,148,421,0
2520,200,96,155,453,0
2620,200,94,147,439,0
2720,200,96,146,438,0
2820,200,95,163,438,0
2920,200,95,158,465,0
3020,200,96,143,418,0
3120,200,95,147,413,0
3220,200,94,149,428,0
3320,200,96,150,488,0
3420,200,96,150,438,0
3520,200,94,162,440,0
3620,200,96,154,466,0
3720,200,95,144,403,0
3820,200,95,142,412,0
3920,200,96,149,452,0
4020,200,95,151,452,0
4120,200,94,167,412,0
4220,200,95,143,404,0
4320,200,95,152,452,0
4420,200,95,157,467,0
4520,200,96,143,410,0
4620,200,95,147,429,0
4720,200,94,164,434,0
4820,200,96,159,437,0
4920,200,95,148,459,0
5020,200,95,156,473,0
5120,200,96,156,469,0
5220,200,94,150,449,0
5320,200,96,153,391,0
5420,200,94,197,487,0
5520,200,92,208,521,0
5620,200,92,227,528,0
5720,200,92,198,495,0
5820,200,90,279,592,0
5920,200,88,263,578,0
6020,200,88,310,599,0
6120,200,86,314,682,0
6220,200,88,319,675,0
6320,200,87,248,562,0
6420,200,90,236,566,0
6520,200,86,311,659,0
6620,200,87,270,615,0
6720,200,87,264,551,0
6820,200,86,407,755,0
6920,200,83,371,725,0
7020,200,85,325,689,0
7120,200,86,351,708,0
7220,200,86,309,652,0
7320,200,88,279,592,0
7420,200,86,392,712,0
7520,200,84,334,691,0
7620,200,88,279,616,0
7720,200,88,258,550,0
7820,200,88,240,507,0
7920,200,87,360,691,0
8020,200,86,358,672,0
8120,200,86,278,568,0
8220,200,88,309,652,0
8320,200,89,248,544,0
8420,200,88,268,560,0
8520,200,88,382,725,0
8620,200,83,303,661,0
8720,200,87,302,603,0
8820,200,88,337,661,0
8920,200,86,300,648,0
9020,200,86,319,674,0
9120,200,88,320,691,0
9220,200,83,337,661,0
9320,200,85,363,699,0
9420,200,82,443,834,0
9520,200,84,325,663,0
9620,200,85,315,681,0
9720,200,87,324,656,0
9820,200,88,263,585,0
9920,200,88,276,604,0
10020,200,86,261,557,0
10120,200,90,248,582,0
10220,200,88,306,683,0
10320,200,87,296,624,0
10420,200,88,244,560,0
10520,200,88,278,590,0
10620,200,88,317,681,0
10720,200,86,317,659,0
10820,200,83,328,642,0
10920,200,88,310,661,0
11020,200,84,295,580,0
11120,200,88,304,646,0
11220,200,87,285,586,0
11320,200,86,368,722,0
11420,200,86,287,588,0
11520,200,86,281,651,0
11620,200,85,317,635,0
11720,200,87,258,562,0
11820,200,88,302,609,0
11920,200,86,335,667,0
12020,200,83,438,850,0
12120,200,86,339,725,0
12220,200,87,316,672,0
12320,200,87,240,535,0
12420,200,89,244,599,0
12520,200,88,341,680,0
12620,200,87,311,619,0
12720,200,87,315,683,0
12820,200,84,379,722,0
12920,200,83,411,776,0
13020,200,83,405,735,0
13120,200,84,313,609,0
13220,200,86,289,669,0
13320,200,86,331,655,2
13420,200,85,294,608,0
13520,200,88,272,566,0
13620,200,86,368,699,0
13720,200,86,316,677,0
13820,200,88,260,542,0
13920,200,87,358,722,0
14020,200,87,306,655,0
14120,200,88,295,576,0
14220,200,88,264,608,0
14320,200,86,309,618,0
14420,200,88,307,620,0
14520,200,86,311,622,0
14620,200,84,390,740,0
14720,200,84,348,661,0
14820,200,82,461,837,0
14920,200,85,322,666,0
15020,200,86,323,650,0
15120,200,87,286,620,0
15220,200,86,348,705,0
15320,200,86,377,734,0
15420,200,82,370,727,0
15520,200,88,241,562,0
15620,200,88,367,705,0
15720,200,80,402,759,0
15820,200,86,252,564,0
15920,200,88,348,708,0
16020,200,85,298,611,0
16120,200,87,352,717,0
16220,200,84,320,697,0
16320,200,86,346,693,0
16420,200,86,274,597,0
16520,200,88,346,662,0
16620,200,83,413,794,0
16720,200,87,270,600,0
16820,200,86,401,754,0
16920,200,85,350,691,0
17020,200,86,311,654,0
17120,200,86,305,596,0
17220,200,85,397,742,0
17320,200,83,367,703,0
17420,200,85,359,738,0
17520,200,84,362,733,0
17620,200,85,315,663,0
17720,200,86,272,563,0
17820,200,86,337,721,0
17920,200,86,293,631,0
18020,200,86,283,592,0
18120,200,89,285,584,0
18220,200,88,275,553,0
18320,200,87,257,538,0
18420,200,88,340,699,0
18520,200,84,359,694,0
18620,200,86,297,655,0
18720,200,87,423,833,0
18820,200,85,246,584,0
18920,200,86,301,655,0
19020,200,87,313,624,0
19120,200,86,289,649,0
19220,200,86,317,633,0
19320,200,86,291,667,0
19420,200,88,250,543,0
19520,200,88,275,598,0
19620,200,88,345,667,0
19720,200,86,349,711,0
19820,200,83,314,667,0
19920,200,86,275,567,0
20020,200,88,322,651,0
20120,200,88,295,630,0
20220,200,87,325,688,0
20320,200,87,341,671,0
20420,200,83,353,699,0
20520,200,87,307,638,0
20620,200,87,327,661,0
20720,200,87,249,590,0
20820,200,90,251,540,0
20920,200,87,279,601,0
21020,200,90,242,540,0
21120,200,88,282,612,0
21220,200,86,300,604,0
21320,200,90,290,605,0
21420,200,86,343,700,0
21520,200,86,327,639,0
21620,200,86,252,562,0
21720,200,90,220,536,0
21820,200,90,206,525,0
21920,200,91,223,580,0
22020,200,91,176,472,0
22120,200,91,217,500,0
22220,200,92,202,490,0
22320,200,94,187,511,0
22420,200,91,182,436,0
22520,200,94,165,425,0
22620,200,94,178,504,0
22720,200,94,175,466,0
22820,200,95,167,406,0
22920,200,95,155,428,0
23020,200,94,141,416,0
23120,200,95,164,429,0
23220,200,95,168,488,0
23320,200,95,150,478,0
23420,200,95,149,440,0
23520,200,96,156,493,0
23620,200,94,158,494,0
23720,200,96,157,421,0
23820,200,95,158,440,0
23920,200,95,145,414,0
24020,200,95,149,497,0
24120,200,95,146,465,0
24220,200,95,154,484,0
24320,200,96,157,493,0
24420,200,94,154,401,0
24520,200,96,139,413,0
24620,200,96,148,437,0
24720,200,94,154,495,0
24820,200,96,143,448,0
24920,200,96,150,492,0
25020,200,94,169,447,0
25120,200,96,155,431,0
25220,200,96,140,435,0
25320,200,95,144,453,0
25420,200,95,148,463,0
25520,200,96,139,452,0
25620,200,94,165,441,0
25720,200,96,155,424,0
25820,200,95,153,469,0
25920,200,95,139,418,0
26020,200,95,143,427,0
26120,200,96,152,485,0
26220,200,94,160,449,0
26320,200,96,157,475,0
26420,200,96,152,481,0
26520,200,94,158,457,0
26620,200,96,143,417,0
26720,200,95,146,440,0
26820,200,95,147,444,0
26920,200,95,165,428,0
27020,200,96,151,455,0
27120,200,95,150,434,0
27220,200,95,155,486,0
27320,200,95,148,412,0
27420,200,95,140,421,0
27520,200,96,165,415,0
27620,200,94,145,380,0
27720,200,97,143,457,0
27820,200,95,157,487,0
27920,200,95,153,487,0
28020,200,95,152,421,0
28120,200,96,160,436,0
28220,200,94,153,401,0
28320,200,96,155,466,0
28420,200,96,146,463,0
28520,200,94,141,435,0
28620,200,96,152,485,0
28720,200,96,155,459,0
28820,200,94,155,411,0
28920,200,96,146,468,0
29020,200,96,153,496,0
29120,200,95,148,476,0
29220,200,95,144,450,0
29320,200,96,155,464,0
29420,200,94,164,435,0
29520,200,95,148,402,0
29620,200,96,143,441,0
29720,200,95,146,433,0
29820,200,95,146,489,0
29920,200,96,142,464,0
30020,200,94,167,437,0
30120,200,96,150,457,0
30220,200,96,147,407,0
30320,200,94,140,422,0
30420,200,96,146,436,0
30520,200,94,152,448,0
30620,200,95,161,456,0
30720,200,96,158,435,0
30820,200,95,156,491,0
30920,200,96,149,450,0
31020,200,95,141,425,0
31120,200,94,144,419,0
31220,200,96,156,477,0
31320,200,95,161,443,0
31420,200,95,143,474,0
31520,200,96,153,450,0
# end rpmMax=97 risMax=461 ms=31540
