# ready
# ms,pwm,rpm,ris,rispk,lis
100,42,6,46,477,0
200,60,24,53,449,0
300,60,27,43,398,0
400,60,27,49,433,0
500,60,27,48,468,0
600,60,27,48,429,0
700,60,28,47,388,0
800,60,27,56,443,0
900,60,27,58,450,0
1000,60,27,50,446,0
1100,60,26,56,433,0
1200,60,27,55,433,0
1300,60,27,45,416,0
1400,60,27,45,445,0
1500,60,27,53,465,0
# step 80
1600,80,32,73,510,0
1700,80,37,74,458,0
1800,80,37,65,464,0
1900,80,37,68,460,0
2000,80,38,71,482,0
2100,80,37,67,475,0
2200,80,37,76,517,0
2300,80,38,65,453,0
2400,80,37,74,549,0
2500,80,37,73,516,0
2600,80,37,72,480,0
2700,80,37,81,562,0
2800,80,36,75,480,0
2900,80,36,74,512,0
3000,80,38,71,478,0
# step 100
3100,100,42,95,506,0
3200,100,47,89,514,0
3300,100,47,87,471,0
3400,100,47,87,477,0
3500,100,47,85,482,0
3600,100,47,86,468,0
3700,100,47,87,534,0
3800,100,47,87,504,0
3900,100,47,96,560,0
4000,100,47,95,538,0
4100,100,47,96,551,0
4200,100,46,96,525,0
4300,100,47,85,508,0
4400,100,47,86,481,0
4500,100,47,90,500,0
# step 120
4600,120,51,108,520,0
4700,120,56,100,486,0
4800,120,56,106,486,0
4900,120,57,103,488,0
5000,120,57,105,516,0
5100,120,56,110,532,0
5200,120,56,111,557,0
5300,120,56,106,499,0
5400,120,56,116,540,0
5500,120,57,108,524,0
5600,120,57,106,500,0
5700,120,56,110,492,0
5800,120,57,102,495,0
5900,120,57,100,483,0
6000,120,56,105,547,0
# step 140
6100,140,61,117,478,0
6200,140,66,130,495,0
6300,140,65,132,509,0
6400,140,66,118,529,0
6500,140,66,119,517,0
6600,140,66,128,544,0
6700,140,67,112,563,0
6800,140,66,125,500,0
6900,140,66,128,484,0
7000,140,66,116,523,0
7100,140,66,133,489,0
7200,140,65,134,493,0
7300,140,66,117,519,0
7400,140,66,124,497,0
7500,140,66,125,561,0
# step 160
7600,160,71,158,546,0
7700,160,75,140,500,0
7800,160,76,136,478,0
7900,160,77,135,498,0
8000,160,75,148,493,0
8100,160,76,131,499,0
8200,160,76,131,458,0
8300,160,76,141,509,0
8400,160,76,134,490,0
8500,160,77,133,515,0
8600,160,75,138,472,0
8700,160,77,146,512,0
8800,160,75,146,536,0
8900,160,75,132,476,0
9000,160,76,130,490,0
# step 180
9100,180,80,156,500,0
9200,180,85,144,468,0
9300,180,86,148,460,0
9400,180,86,141,470,0
9500,180,85,162,476,0
9600,180,86,154,484,0
9700,180,86,134,463,0
9800,180,86,150,454,0
9900,180,86,147,464,0
10000,180,86,150,489,0
10100,180,85,146,504,0
10200,180,86,157,480,0
10300,180,86,140,457,0
10400,180,85,153,462,0
10500,180,86,151,463,0
# step 200
10600,200,90,178,506,0
10700,200,94,146,457,0
10800,200,96,158,450,0
10900,200,94,153,408,0
11000,200,96,156,477,0
11100,200,95,154,416,0
11200,200,95,147,428,0
11300,200,95,144,417,0
11400,200,96,162,485,0
11500,200,94,152,376,0
11600,200,94,153,446,0
11700,200,96,155,476,0
11800,200,95,156,483,0
11900,200,95,154,418,0
12000,200,96,147,438,0
# step 220
12100,220,99,173,446,0
12200,220,105,148,324,0
12300,220,105,161,408,0
12400,220,104,157,363,0
12500,220,105,154,404,0
12600,220,105,155,321,0
12700,220,103,164,399,0
12800,220,105,150,328,0
12900,220,105,147,357,0
13000,220,104,156,367,0
13100,220,105,149,333,0
13200,220,105,167,356,0
13300,220,103,163,352,0
13400,220,105,159,365,0
13500,220,105,166,412,0
# step 240
13600,240,109,169,320,0
13700,240,114,172,343,0
13800,240,114,177,342,0
13900,240,113,150,264,0
14000,240,114,173,301,0
14100,240,113,159,322,0
14200,240,115,166,337,0
14300,240,114,173,294,0
14400,240,113,169,294,0
14500,240,114,160,285,0
14600,240,114,164,306,0
14700,240,113,162,327,0
14800,240,115,178,332,0
14900,240,113,156,286,0
15000,240,113,159,284,0
# end rpmMax=115 risMax=178 ms=15010
